year,month,date_str,positive,negative,neutral,date
2015,january,january 2015,0.1932363805002891,0.6382998764085082,0.16846373887875907,2015-01-01
2015,february,february 2015,0.2530675700141324,0.6083958820802056,0.13853655417915434,2015-02-01
2015,march,march 2015,0.3646559145674109,0.4166733882079522,0.21867069525023303,2015-03-01
2015,may,may 2015,0.24418753943173216,0.6178147684549913,0.13799768653698266,2015-05-01
2015,june,june 2015,0.25197455506114397,0.5511402955744416,0.19688514700871618,2015-06-01
2015,august,august 2015,0.3291357236597291,0.44286703078591444,0.2279972467630943,2015-08-01
2015,september,september 2015,0.3138947234502141,0.5159903290668424,0.1701149467221448,2015-09-01
2015,november,november 2015,0.27367803594097495,0.565613650759174,0.16070831580807202,2015-11-01
2015,december,december 2015,0.2863319399963382,0.47605657628671805,0.2376114835595371,2015-12-01
2016,february,february 2016,0.27452207000719175,0.5994500462586682,0.12602787982258531,2016-02-01
2016,march,march 2016,0.3090615435503423,0.4960958876083015,0.1948425670770902,2016-03-01
2016,may,may 2016,0.28993590214660253,0.5448809063903266,0.16518319256964228,2016-05-01
2016,june,june 2016,0.270052426867187,0.5498818453983404,0.18006573632592335,2016-06-01
2016,august,august 2016,0.27943871315691693,0.5055096918576449,0.21505159595629797,2016-08-01
2016,september,september 2016,0.2066866914765575,0.5928235040643276,0.20048979866819885,2016-09-01
2016,november,november 2016,0.42501623755250173,0.39938995206752154,0.17559381566140092,2016-11-01
2016,december,december 2016,0.41673691698337256,0.4117260243590564,0.171537056054971,2016-12-01
2017,february,february 2017,0.3898616626503922,0.38460800384304356,0.2255303280627621,2017-02-01
2017,march,march 2017,0.33281123535433677,0.43883865841609593,0.22835011369384386,2017-03-01
2017,may,may 2017,0.32769784436095506,0.4590349176898599,0.2132672412903048,2017-05-01
2017,june,june 2017,0.37002370427821724,0.45797078059592716,0.1720055149815662,2017-06-01
2017,august,august 2017,0.35578378253440196,0.4079481816120647,0.23626803795530185,2017-08-01
2017,september,september 2017,0.39478437681742884,0.3833694140632431,0.22184620585969902,2017-09-01
2017,november,november 2017,0.4212335345769922,0.3861705504730344,0.19259591439117987,2017-11-01
2017,december,december 2017,0.3502192507712887,0.4386074720380398,0.21117326963979463,2017-12-01
2018,february,february 2018,0.41106176997632965,0.40926617250385644,0.1796720603627986,2018-02-01
2018,march,march 2018,0.3413768358528614,0.49622458811583264,0.1623985770557608,2018-03-01
2018,may,may 2018,0.29097318443624925,0.5298313694462801,0.17919545527547598,2018-05-01
2018,june,june 2018,0.33477703591241786,0.41527423178574635,0.24994873175518992,2018-06-01
2018,august,august 2018,0.3800915871252073,0.4807266839197837,0.13918172524427064,2018-08-01
2018,september,september 2018,0.4460019640890615,0.3890406600598778,0.16495737845876388,2018-09-01
2018,november,november 2018,0.3252238158423167,0.5003627170736973,0.17441346963437704,2018-11-01
2018,december,december 2018,0.284063849854283,0.5605673539219425,0.15536879389546812,2018-12-01
2019,february,february 2019,0.2830331941090879,0.587589946841555,0.12937686929390543,2019-02-01
2019,march,march 2019,0.33847151226244676,0.5009121790599937,0.1606163065522336,2019-03-01
2019,may,may 2019,0.3729686053055856,0.48882522786978955,0.13820616245545722,2019-05-01
2019,june,june 2019,0.23661348642781377,0.6165640367544256,0.14682247721357272,2019-06-01
2019,august,august 2019,0.22108079543019213,0.6011635962782836,0.17775560984751437,2019-08-01
2019,september,september 2019,0.21991054496770215,0.6444764950587838,0.1356129596983506,2019-09-01
2019,november,november 2019,0.23389884020504823,0.6050700192530472,0.16103114619716463,2019-11-01
2019,december,december 2019,0.30538327152607964,0.537682825664524,0.15693390510277822,2019-12-01
2020,january,january 2020,0.3791977935578934,0.4463205768531838,0.1744816269790537,2020-01-01
2020,march,march 2020,0.2540770611004182,0.49661923597591956,0.24930370279361266,2020-03-01
2020,may,may 2020,0.22518984581047827,0.5689451842128422,0.20586497179239757,2020-05-01
2020,june,june 2020,0.24381291073542544,0.6019637758078856,0.1542233114047506,2020-06-01
2020,august,august 2020,0.32138565078646214,0.5345317114496956,0.1440826378561355,2020-08-01
2020,september,september 2020,0.3150851921721672,0.5299310602824248,0.15498373350350275,2020-09-01
2020,november,november 2020,0.3248952214209432,0.47965129032834536,0.19545349689993868,2020-11-01
2020,december,december 2020,0.33362140398668616,0.5142414248385058,0.15213717223684253,2020-12-01
2021,february,february 2021,0.28576594112408266,0.49904946809667244,0.21518459151449956,2021-02-01
2021,march,march 2021,0.414098069195033,0.40543327150939434,0.18046865914491753,2021-03-01
2021,may,may 2021,0.3949824804609472,0.4391238472509113,0.1658936742100526,2021-05-01
2021,june,june 2021,0.3622215466112294,0.4486313270553287,0.1891471220147425,2021-06-01
2021,august,august 2021,0.3527407672403282,0.46422641204768106,0.18303281488713988,2021-08-01
2021,september,september 2021,0.35474276056695253,0.489501161556831,0.15575607518028273,2021-09-01
2021,november,november 2021,0.32286027845620485,0.49525740824744,0.1818823107303335,2021-11-01
2021,december,december 2021,0.319435416402795,0.49277020236704405,0.18779438144216934,2021-12-01
2022,february,february 2022,0.3654683992516861,0.3982429478609406,0.23628864973199679,2022-02-01
2022,march,march 2022,0.4046179122641819,0.4324980699414507,0.16288401952884887,2022-03-01
2022,may,may 2022,0.3313539346017933,0.43924000844708644,0.22940605499024969,2022-05-01
2022,june,june 2022,0.43704245181017837,0.40270660910755396,0.16025094074998483,2022-06-01
2022,august,august 2022,0.2800604887125851,0.4553803364899986,0.26455917411022684,2022-08-01
2022,september,september 2022,0.34090808763315805,0.41657963238264384,0.24251227359238423,2022-09-01
2022,november,november 2022,0.32881147056352344,0.524481960311532,0.14670657037757337,2022-11-01
2022,december,december 2022,0.25846238785423337,0.5926345047913492,0.1489031081367284,2022-12-01
2023,february,february 2023,0.1974474652421971,0.6654175318529209,0.13713500376790763,2023-02-01
2023,march,march 2023,0.3567459882580136,0.5261316744904769,0.11712233964353799,2023-03-01
2023,may,may 2023,0.3258874426380946,0.43580989005903786,0.23830266612080428,2023-05-01
2023,june,june 2023,0.4040793761636855,0.46960022865742856,0.12632039607140338,2023-06-01
2023,august,august 2023,0.2882310409134008,0.5019561153186379,0.2098128345425961,2023-08-01
2023,september,september 2023,0.2162460559726848,0.5730520840540217,0.2107018565875478,2023-09-01
2023,november,november 2023,0.1977098018117249,0.53555708181113,0.2667331134714186,2023-11-01
2023,december,december 2023,0.1537794385835327,0.6727132984386707,0.17350725199070735,2023-12-01
2024,february,february 2024,0.20521548346926768,0.589617574835817,0.20516693968739774,2024-02-01
2024,march,march 2024,0.2835403917141367,0.5401182029180337,0.17634140169652907,2024-03-01
2024,may,may 2024,0.2174602815754373,0.45015310889787297,0.3323866076640446,2024-05-01
2024,june,june 2024,0.29486223381784993,0.5346469448924791,0.17049082451522712,2024-06-01
2024,august,august 2024,0.2760695516131818,0.48477615450974554,0.23915428947657347,2024-08-01
2024,september,september 2024,0.26755711232954765,0.4690705092597595,0.263372382490148,2024-09-01
2024,november,november 2024,0.22369105648249388,0.48882435722690487,0.2874845829016219,2024-11-01
2024,december,december 2024,0.3166785103458096,0.4780576247430872,0.20526386437995825,2024-12-01
2025,february,february 2025,0.23879198284287537,0.4861163218461332,0.27509169841540004,2025-02-01
2025,march,march 2025,0.34257851952474705,0.4894121739353183,0.16800929885357618,2025-03-01
2025,may,may 2025,0.1864173342473805,0.5313549568147763,0.2822277045039379,2025-05-01
2025,june,june 2025,0.29144845745513137,0.4912481440598486,0.21730340597495226,2025-06-01
2025,august,august 2025,0.23163399050330244,0.45454219864999373,0.31382381302736156,2025-08-01
2025,september,september 2025,0.26341705569538515,0.45521119053381076,0.28137175413523463,2025-09-01
2025,november,november 2025,0.22007739262760811,0.47057867456086966,0.3093439352540475,2025-11-01
2025,december,december 2025,0.2600696256849915,0.5754929552398002,0.16443741723843333,2025-12-01
2026,february,february 2026,0.2173777225850658,0.5162127947265451,0.2664094725285064,2026-02-01
2026,march,march 2026,0.28069609655067324,0.4329757694953254,0.28632812787379536,2026-03-01
2026,april,april 2026,0.2656859894549208,0.29875485544159475,0.43555915974346654,2026-04-01
